strategy_id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score,weight_MaxSharpe_MV_%,weight_MinVariance_MV_%,weight_MinCVaR_%,weight_MaxReturn_CVaRCap_%,weight_ScoreWeighted_%,weight_EqualWeight_%
743bcc51,bull,s79|s47|s83|s41|s55,5,0.050396,0.014443,34.7131,0.0,-16.5795,63,36.5079,5.8978,0.0,-6.8669,10,40.0,0.024598,0.0003,0.0832,0.0,0.0,0.3086,0.5376
9bb95556,bear,s62|s86|s22|s98|s20,5,0.068101,0.019844,39.4801,0.0,-29.6465,68,33.8235,13.43,0.0,-15.3497,23,34.7826,0.051529,0.0001,0.0832,0.0,0.0,0.6465,0.5376
bef89903,bear,s25|s66|s61|s23,4,0.06124,0.017757,24.2437,0.0,-15.6584,67,32.8358,22.1599,0.0,-8.2812,19,42.1053,0.072243,0.0,0.0832,0.0,0.0,0.9063,0.5376
09b2453c,bear,s71|s100|s67|s86|s29,5,0.067034,0.019017,36.9512,0.0,-22.0656,54,35.1852,9.1468,0.0,-14.7695,18,33.3333,0.03322,0.0002,0.0832,0.0,0.0,0.4168,0.5376
e8c22fb5,bull,s88|s36|s63|s83,4,0.067415,0.017052,46.7353,0.0,-12.3792,36,38.8889,9.4989,0.0,-6.732,11,36.3636,0.027916,0.0005,0.0832,0.0,0.0,0.3502,0.5376
aee75f0b,bear,s22|s100|s62|s16|s23,5,0.045264,0.016449,26.9657,0.0,-19.0972,70,40.0,2.5753,0.0,-7.5482,25,36.0,0.047828,0.0002,0.0832,0.0,0.0,0.6,0.5376
47d55e71,bear,s52|s100|s67|s85|s61,5,0.041746,0.017125,21.4513,0.0,-20.1191,100,40.0,9.7173,0.0,-12.6265,28,42.8571,0.072554,0.0,0.0832,0.0,0.0,0.9102,0.5376
44c58d35,bear,s37|s23|s51|s31,4,0.045018,0.018582,20.5553,0.0,-20.9915,52,42.3077,13.2494,0.0,-10.4762,22,45.4545,0.06949,0.0,0.0832,0.0,0.0,0.8718,0.5376
20a3e52f,bear,s50|s81|s22|s13|s67,5,0.070133,0.018899,35.0687,0.0,-16.6171,51,33.3333,4.5398,0.0,-15.1977,20,30.0,0.025026,0.0004,0.0832,0.0,0.0,0.314,0.5376
39094614,bull,s12|s83|s11|s73,4,0.067632,0.015734,36.658,0.0,-14.1525,62,30.6452,4.7799,0.0,-11.9942,14,28.5714,0.019278,0.0004,0.0832,0.0,0.0,0.2419,0.5376
173e0afd,bull,s59|s48|s21|s70,4,0.066701,0.012136,38.962,0.0,-14.3267,51,29.4118,1.4692,0.0,-7.2041,13,23.0769,0.013909,0.0007,0.0832,0.0,0.0,0.1745,0.5376
11c6d683,bear,s13|s89|s97|s50,4,0.027674,0.011351,13.7454,0.0,-11.0761,49,46.9388,11.3564,0.0,-5.4723,13,61.5385,0.055542,0.0,0.0832,0.0,0.0,0.6968,0.5376
c7943d47,bear,s81|s29|s19|s23,4,0.076359,0.013371,33.0993,0.0,-14.4391,67,25.3731,16.1492,0.0,-10.7447,21,28.5714,0.049592,0.0,0.0832,0.0,0.0,0.6222,0.5376
9cb157a4,bear,s25|s89|s13|s85,4,0.027841,0.017988,7.5021,0.0,-9.2608,59,50.8475,8.1929,0.0,-5.957,15,60.0,0.05847,0.0,0.0832,0.0,0.0,0.7335,0.5376
e2a2630e,bear,s19|s23|s86|s62,4,0.061052,0.014937,30.9715,0.0,-21.2111,71,30.9859,12.6045,0.0,-13.4954,29,31.0345,0.05976,0.0,0.0832,0.0,0.0,0.7497,0.5376
d3306272,bear,s25|s23|s98,3,0.045611,0.015204,28.0622,0.0,-22.4111,85,37.6471,8.3687,0.0,-10.4935,24,37.5,0.054957,0.0,0.0832,0.0,0.0,0.6895,0.5376
e7ab4e47,bear,s81|s13|s51|s19,4,0.06567,0.015361,33.304,0.0,-13.899,61,31.1475,5.4874,0.0,-13.9539,21,28.5714,0.027637,0.0003,0.0832,0.0,0.0,0.3467,0.5376
aeae1b87,bear,s51|s23|s67|s77|s22,5,0.042123,0.01928,27.8519,0.0,-14.3674,38,50.0,5.1912,0.0,-8.6017,18,44.4444,0.046185,0.0001,0.0832,0.0,0.0,0.5794,0.5376
ff161d9a,bear,s62|s100|s76|s13|s19,5,0.076889,0.01906,38.5708,0.0,-27.4014,56,30.3571,17.4814,0.0,-10.6163,17,35.2941,0.048946,0.0,0.0832,0.0,0.0,0.6141,0.5376
