id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
a164fcbd,bull,s21|s58|s68|s64,4,0.0628077308,0.011529205,38.974,0.0,-10.3307,30,36.6667,0.140942,-3.0693,0.0,-3.0693,2,0.0,-0.000859
c77bc0a9,bull,s21|s9|s70|s63,4,0.0704251556,0.0145464526,44.2298,0.0,-16.9954,38,34.2105,0.173709,-20.0227,0.0,-20.0227,12,0.0,-0.033638
bf48f188,bull,s21|s59|s34|s8,4,0.0515364423,0.0177366952,22.1059,0.0,-14.7979,50,38.0,0.15803,-13.5594,0.0,-19.4315,16,18.75,-0.01801
041dea87,bull,s14|s73|s46|s42|s54,5,0.0377660368,0.0149761914,17.0058,0.0,-19.7018,71,40.8451,0.131453,-6.1633,0.0,-12.928,17,29.4118,0.008431
85c8c9e8,bull,s54|s69|s35|s73,4,0.0481042774,0.0129902061,28.5588,0.0,-10.4674,31,41.9355,0.129356,1.78,0.0,-6.5926,6,33.3333,0.010481
9c69d379,bull,s94|s10|s55,3,0.0615375839,0.0187909118,24.4376,0.0,-17.8508,83,32.5301,0.141788,-5.7258,0.0,-14.4654,6,16.6667,-0.001956
bf729ab8,bull,s44|s10|s78|s95|s36,5,0.0767805209,0.0197696121,40.7726,0.0,-20.4105,119,28.5714,0.187573,-23.7829,0.0,-28.0282,15,6.6667,-0.047765
4d1af1e7,bull,s41|s21|s59|s69,4,0.0424874673,0.0130209234,24.4108,0.0,-4.9958,32,43.75,0.1369,-3.0409,0.0,-6.6092,5,20.0,0.002801
e297aa48,bull,s75|s34|s91|s21,4,0.0705985472,0.0174398708,31.1032,0.0,-22.8459,55,30.9091,0.148602,-10.2676,0.0,-14.0127,9,11.1111,-0.00896
ebbcc774,bull,s33|s42|s88|s21,4,0.0542091933,0.0199870683,19.6402,0.0,-17.8481,65,36.9231,0.135786,-6.796,0.0,-15.5117,18,27.7778,0.003461
0b2a9f2a,bear,s57|s19|s18|s100|s86,5,0.0770395636,0.01219797,30.1281,0.0,-18.506,53,24.5283,0.138579,-0.6597,0.0,-17.3349,27,18.5185,0.000492
748a4781,bull,s11|s92|s78|s64,4,0.0515220212,0.0175948975,15.2026,0.0,-12.6431,56,35.7143,0.130024,-4.0749,0.0,-8.3967,11,27.2727,0.008872
fad38f5c,bull,s47|s83|s7|s15|s78,5,0.0298367995,0.0161561993,6.3539,0.0,-10.0915,51,47.0588,0.136318,-7.4155,0.0,-10.1708,8,25.0,0.002372
62699bab,bull,s59|s10|s54|s96,4,0.0516759794,0.0163079827,29.7474,0.0,-16.3341,33,42.4242,0.130192,-0.9453,0.0,-7.8405,7,28.5714,0.008178
c1729bc6,bull,s1|s54|s73,3,0.0437020682,0.0158842697,24.7204,0.0,-13.1644,33,45.4545,0.129196,-0.2508,0.0,-7.6841,6,33.3333,0.009113
c05f0b5f,bull,s21|s78|s4|s84,4,0.0522357726,0.0173413159,25.4368,0.0,-8.2236,34,41.1765,0.136412,-4.4226,0.0,-8.2229,5,20.0,0.001764
e377205e,bull,s64|s78|s1|s59,4,0.0580578817,0.0196289665,17.0291,0.0,-14.2121,51,35.2941,0.131362,-2.0358,0.0,-9.644,7,28.5714,0.006809
18bff13d,bull,s82|s21|s87|s47|s58,5,0.0708388253,0.019087503,35.2633,0.0,-13.508,36,36.1111,0.150381,-13.0186,0.0,-16.5577,6,0.0,-0.01221
5fc966dc,bull,s54|s95|s21|s15|s82,5,0.0580242224,0.0134962113,29.5652,0.0,-8.433,33,36.3636,0.133355,-0.032,0.0,-5.1263,4,25.0,0.004759
fe819ad9,bull,s21|s43|s82|s48,4,0.0741546151,0.0184828358,33.4403,0.0,-12.7689,39,33.3333,0.152454,-14.6364,0.0,-14.6364,7,0.0,-0.014344
fc745202,bull,s21|s70|s93,3,0.0669463555,0.013435262,42.2106,0.0,-16.0526,38,34.2105,0.16972,-18.9449,0.0,-18.9449,12,0.0,-0.031827
378df022,bull,s87|s54|s15,3,0.043184106,0.0145599926,26.7267,0.0,-11.0625,30,46.6667,0.128232,0.1994,0.0,-7.182,6,33.3333,0.00951
9d9c8ae7,bull,s63|s10|s44|s96|s38,5,0.0619615692,0.0177611294,32.5283,0.0,-16.0664,126,30.9524,0.174771,-16.1556,0.0,-24.758,22,18.1818,-0.037114
d9baa2ee,bull,s82|s21|s33|s59,4,0.0576203448,0.0120427969,39.6372,0.0,-12.0803,30,40.0,0.145385,-9.2032,0.0,-9.2032,6,0.0,-0.007731
98b4031e,bull,s78|s96|s36|s48,4,0.0518852401,0.0170367139,17.893,0.0,-14.4905,53,35.8491,0.135648,-5.9515,0.0,-10.5966,9,22.2222,0.001993
