id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score
f59e4d92,bull,s7|s94|s30|s63,4,0.0685086941,0.0183309142,40.0418,0.0,-16.8907,34,38.2353,0.152457
fe819ad9,bull,s21|s43|s82|s48,4,0.0741546151,0.0184828358,33.4403,0.0,-12.7689,39,33.3333,0.152454
945a2477,bull,s59|s34|s82|s21|s87,5,0.0438361151,0.01887154,16.7962,0.0,-10.9509,47,42.5532,0.152272
9c411e18,bull,s33|s42|s54|s21,4,0.0386694315,0.0189838241,14.2838,0.0,-9.5913,46,45.6522,0.152092
3d581fd9,bull,s41|s96|s21|s46,4,0.0639357689,0.0108983437,29.9049,0.0,-14.194,80,25.0,0.152038
300a8669,bull,s87|s54|s42|s7,4,0.0641547053,0.0167703396,26.6315,0.0,-17.0149,53,32.0755,0.151708
ae415005,bull,s4|s94|s15|s21,4,0.065142041,0.0189490655,28.2897,0.0,-19.6041,71,32.3944,0.15153
b5fd3fe3,bull,s59|s42|s21,3,0.060166433,0.0198928205,33.149,0.0,-16.5798,37,40.5405,0.151314
9a6d744b,bull,s21|s59|s34,3,0.0406104196,0.0176262813,14.3522,0.0,-11.0064,52,42.3077,0.151313
b7d4cd86,bull,s47|s42|s78,3,0.0779637089,0.0194471818,33.177,0.0,-23.2211,68,29.4118,0.15128
b67cab3d,bull,s96|s43|s3|s15,4,0.0712729474,0.0105074792,42.9815,0.0,-28.5337,139,21.5827,0.151073
2e4b62e7,bull,s96|s46|s4|s68,4,0.0771587627,0.0197018538,33.5542,0.0,-23.0886,47,31.9149,0.151054
b421ea14,bull,s9|s65|s54|s92|s59,5,0.0416574265,0.018298072,28.6016,0.0,-8.7367,31,51.6129,0.150682
18bff13d,bull,s82|s21|s87|s47|s58,5,0.0708388253,0.019087503,35.2633,0.0,-13.508,36,36.1111,0.150381
dd82b184,bull,s42|s63|s43|s94,4,0.044723363,0.0192144659,16.8919,0.0,-14.4154,50,42.0,0.150321
951afad7,bull,s75|s93|s78,3,0.0728259079,0.0169572237,41.771,0.0,-7.2656,29,37.931,0.150267
bbfec79e,bull,s21|s10|s68,3,0.0674970841,0.0191700419,26.2726,0.0,-16.2269,48,33.3333,0.150153
58dddef7,bull,s47|s1|s65|s78,4,0.0519959181,0.0190860684,20.7844,0.0,-15.4213,49,38.7755,0.150136
132937e9,bull,s42|s54|s79|s87|s43,5,0.0498560846,0.0155075698,20.4684,0.0,-12.9636,56,35.7143,0.150126
1c11b41d,bull,s4|s21|s59|s69,4,0.0542344563,0.0149314337,36.4205,0.0,-8.5121,30,43.3333,0.150087
1417b1b3,bull,s95|s78|s65,3,0.0615653078,0.0185230427,23.2075,0.0,-14.8875,53,33.9623,0.150054
9a5caf34,bull,s9|s44|s83|s88|s73,5,0.0365597655,0.0154565149,16.8318,0.0,-8.164,42,45.2381,0.149982
efdae5ea,bull,s59|s73|s6|s39|s78,5,0.0434578357,0.0150483378,14.8529,0.0,-7.5907,53,37.7358,0.149847
8dea7d29,bull,s84|s78|s59,3,0.0443295715,0.0197381707,32.1841,0.0,-7.3736,28,53.5714,0.149705
b75e5707,bull,s6|s94|s21|s9,4,0.0596810135,0.0180617862,24.8311,0.0,-17.081,62,33.871,0.149694
34b44e98,bull,s11|s78|s59|s9,4,0.0476753458,0.0166617976,18.2494,0.0,-11.5454,62,37.0968,0.149652
e52d887b,bull,s40|s14|s96|s54,4,0.0529728731,0.0156505753,24.5853,0.0,-7.9308,40,37.5,0.149639
01028a50,bull,s87|s8|s47|s7,4,0.0290591375,0.019232422,8.0111,0.0,-10.8172,48,52.0833,0.149609
b59766d4,bull,s47|s14|s21|s10,4,0.0756680999,0.0187282702,38.1241,0.0,-12.8071,34,35.2941,0.149571
a25ac783,bull,s44|s47|s59|s10|s91,5,0.0404752634,0.0186390374,19.6435,0.0,-18.8754,87,42.5287,0.149534
6aa5b15c,bear,s86|s19|s26,3,0.0746577822,0.017094539,36.5498,0.0,-19.1714,40,32.5,0.148948
d180280e,bull,s74|s48|s34|s94,4,0.0726488612,0.0190710398,33.0306,0.0,-25.2953,68,30.8824,0.148884
a3c60069,bear,s52|s99|s86|s100|s29,5,0.0430223132,0.015322642,19.6846,0.0,-16.2701,53,39.6226,0.148796
e297aa48,bull,s75|s34|s91|s21,4,0.0705985472,0.0174398708,31.1032,0.0,-22.8459,55,30.9091,0.148602
b3919c19,bull,s15|s21|s68|s43|s5,5,0.0625194783,0.0162428976,30.4747,0.0,-21.4496,89,30.3371,0.148561
9b150abf,bull,s54|s87|s33,3,0.0314103199,0.0163381775,13.6505,0.0,-14.5295,47,48.9362,0.148353
de885ca7,bull,s54|s30|s15|s32,4,0.0348287225,0.0174561471,15.7725,0.0,-15.1257,46,47.8261,0.148296
4b51fe97,bull,s58|s78|s47|s7,4,0.0483964983,0.0170027013,18.1978,0.0,-12.585,53,37.7358,0.148244
0887f36c,bull,s21|s4|s47|s41,4,0.0654993911,0.0143630021,24.9135,0.0,-10.482,47,29.7872,0.148115
bb25e00b,bull,s41|s34|s87|s21,4,0.0578497732,0.01609149,22.2172,0.0,-13.6173,51,33.3333,0.148017
098757bf,bull,s78|s59|s10|s84,4,0.0601774884,0.0167860151,43.287,0.0,-9.0214,26,46.1538,0.147964
4a1097dd,bull,s54|s87|s14|s43,4,0.0556643251,0.0148889417,33.7633,0.0,-8.631,32,40.625,0.147863
4d1361c4,bull,s73|s33|s78|s94|s59,5,0.0777607692,0.0190425556,43.4961,0.0,-10.9554,29,37.931,0.147848
1f158bef,bull,s21|s39|s59,3,0.0743630072,0.0128385851,37.8873,0.0,-12.6464,36,30.5556,0.147799
76ff249b,bull,s94|s96|s47|s59|s82,5,0.0758225193,0.0199875688,39.1506,0.0,-33.6819,75,30.6667,0.147557
9e691fab,bull,s8|s94|s34|s78|s59,5,0.0625203068,0.0167795721,29.6271,0.0,-21.2912,84,30.9524,0.147492
eb9c4ffd,bull,s83|s21|s93|s4|s34,5,0.0645351755,0.0193111046,30.6353,0.0,-6.8398,34,38.2353,0.147375
78a00bce,bull,s94|s3|s96|s47,4,0.0515943481,0.0197855903,19.573,0.0,-15.5847,57,38.5965,0.147327
b948ae4c,bull,s78|s14|s48|s60,4,0.0459997781,0.0193280876,16.7322,0.0,-14.3861,51,41.1765,0.1473
d108aa0e,bull,s93|s96|s21|s43|s68,5,0.0493587731,0.010851902,29.8061,0.0,-5.7858,34,38.2353,0.14727
20fceb2c,bear,s100|s18|s26,3,0.0463376748,0.0178456715,21.4595,0.0,-13.4236,43,41.8605,0.147188
b1c301bd,bull,s88|s36|s54|s73|s14,5,0.0658032599,0.0196986115,29.0984,0.0,-23.0804,66,33.3333,0.147152
9f85635c,bull,s78|s48|s59|s94|s64,5,0.0608653871,0.0191573969,35.5144,0.0,-16.4457,34,41.1765,0.14705
f9abe835,bear,s99|s101|s86|s76,4,0.0728221539,0.0182284021,48.407,0.0,-12.6051,26,42.3077,0.147023
5ed6fece,bull,s54|s87|s15|s42,4,0.0355954323,0.0172187667,29.7243,0.0,-8.1846,27,59.2593,0.146946
