id,direction,signals,n_signals,tp,sl,train_return,train_sharpe,train_drawdown,train_trades,train_winrate,score,test_return,test_sharpe,test_drawdown,test_trades,test_winrate,test_score
a60e3e22,bear,s50|s72|s13|s31,4,0.0293623027,0.0191321115,3.5917,0.0,-9.0797,36,50.0,0.098732,-11.1392,0.0,-12.7747,5,0.0,-0.008288
b601dfa8,bear,s76|s99|s28,3,0.0344383319,0.0097428028,9.7245,0.0,-11.8091,44,36.3636,0.099054,-7.4444,0.0,-10.7317,7,0.0,-0.008676
1b21eb4f,bear,s22|s16|s37|s81,4,0.0278877253,0.0103031554,5.6015,0.0,-7.642,38,42.1053,0.095605,-8.6123,0.0,-9.4501,9,11.1111,-0.005304
4fed9a92,bear,s52|s99|s29|s101,4,0.0322640546,0.011970719,8.2124,0.0,-11.8293,39,41.0256,0.093942,-7.2019,0.0,-10.4934,8,12.5,-0.003646
17038a5c,bear,s62|s19|s99,3,0.0294255299,0.0096129799,5.4216,0.0,-12.6893,50,38.0,0.097618,-7.8401,0.0,-9.9672,6,0.0,-0.007351
d000eb10,bear,s17|s99|s51|s76|s20,5,0.0297740692,0.0197505928,7.0219,0.0,-9.2127,32,53.125,0.102288,-13.2655,0.0,-15.7624,6,0.0,-0.012042
90999975,bear,s19|s18|s37|s20|s31,5,0.0297923282,0.019138777,2.4444,0.0,-13.0718,41,48.7805,0.095861,-10.5301,0.0,-13.7645,7,14.2857,-0.005678
6d015da3,bear,s23|s86|s89|s20,4,0.0287143338,0.0157824637,12.983,0.0,-6.8831,25,56.0,0.099641,-11.2968,0.0,-11.2968,6,0.0,-0.009489
1461e7fd,bear,s28|s29|s76|s18,4,0.0297585142,0.0190030985,11.2145,0.0,-7.3223,24,58.3333,0.094988,-7.2096,0.0,-10.5653,4,0.0,-0.004843
4806c912,bear,s77|s23|s61|s56|s51,5,0.0298330345,0.0197067272,6.5687,0.0,-9.0391,30,53.3333,0.095494,-9.1148,0.0,-10.2869,4,0.0,-0.005386
c554e4db,bear,s62|s50|s56|s80|s86,5,0.0315011739,0.0169096559,9.7297,0.0,-10.6056,29,51.7241,0.094119,-9.617,0.0,-11.0473,7,14.2857,-0.004025
95fc10ae,bear,s86|s72|s77|s100,4,0.0251356269,0.0152741431,1.8024,0.0,-8.8573,36,50.0,0.094059,-9.2649,0.0,-11.379,7,14.2857,-0.003968
8334a0d5,bear,s101|s51|s81|s29|s57,5,0.0272923345,0.01327593,3.5357,0.0,-10.0818,40,45.0,0.095118,-9.8048,0.0,-10.6863,8,12.5,-0.005404
8ec5123d,bear,s76|s86|s99|s13|s72,5,0.0321614717,0.0193709065,10.6218,0.0,-9.5162,28,53.5714,0.097806,-10.9356,0.0,-12.8744,5,0.0,-0.008237
25d7025d,bear,s62|s52|s101|s67,4,0.0253168987,0.0107399482,6.0268,0.0,-6.7978,33,45.4545,0.092451,-7.4531,0.0,-9.2047,8,12.5,-0.003188
e61f071a,bear,s62|s71|s66|s29|s86,5,0.0192888127,0.0104123908,4.6836,0.0,-3.7594,28,53.5714,0.094175,-7.0256,0.0,-7.0987,5,0.0,-0.00494
ab9330c6,bear,s89|s49|s77|s86|s99,5,0.0303722763,0.015297915,7.0022,0.0,-11.9615,36,47.2222,0.096329,-9.3308,0.0,-11.4674,5,0.0,-0.007173
14308125,bear,s89|s51|s20|s56|s98,5,0.0302759721,0.0196293652,6.9136,0.0,-9.7457,30,53.3333,0.09505,-11.8753,0.0,-12.8083,7,14.2857,-0.00603
6a685b2c,bear,s52|s99|s101|s29|s66,5,0.032358047,0.0121614434,7.9182,0.0,-11.9539,39,41.0256,0.092733,-7.289,0.0,-10.5789,8,12.5,-0.003743
b16316c4,bear,s86|s31|s29|s23|s56,5,0.0311063477,0.0189669936,6.667,0.0,-9.6369,31,51.6129,0.09461,-9.5179,0.0,-10.7465,4,0.0,-0.005625
8605cf0a,bear,s81|s28|s99|s29,4,0.0315595114,0.0175536337,5.6405,0.0,-7.5565,33,48.4848,0.095929,-8.5357,0.0,-11.8043,5,0.0,-0.006956
b900b9d3,bear,s49|s86|s37|s77|s57,5,0.0287760493,0.0171222675,2.216,0.0,-8.2145,37,48.6486,0.096323,-9.7052,0.0,-11.6593,5,0.0,-0.00738
11554568,bear,s98|s86|s51,3,0.0245530694,0.0125827057,12.0733,0.0,-4.7806,22,59.0909,0.092939,-6.7086,0.0,-8.4472,4,0.0,-0.004174
02da6732,bear,s81|s16|s22,3,0.0373987862,0.0173251526,13.3243,0.0,-10.7576,29,48.2759,0.096194,-11.3258,0.0,-12.9715,8,12.5,-0.007475
8cdafc00,bear,s85|s62|s18|s66|s16,5,0.0326286495,0.0128439222,6.9407,0.0,-12.9916,41,41.4634,0.092806,-8.3261,0.0,-10.2973,8,12.5,-0.004271
95b28617,bear,s72|s86|s77|s29|s99,5,0.0317793122,0.0184745061,1.512,0.0,-10.2393,41,46.3415,0.093771,-8.0895,0.0,-11.0723,4,0.0,-0.005246
